accession	organism_name	clade	host_category	compartment	matched_evidence	raw_isolation_source	raw_host	c3_present
GCF_014171495.1	Paraburkholderia tropica	other genus	rhizosphere	root_rhizosphere	raw_isolation_source=sorghum rhizosphere	Sorghum rhizosphere	not applicable	False
GCF_014263355.1	Burkholderia gladioli	other Burkholderia	plant	leaf	raw_isolation_source=leaf	leaf	sugarcane	False
GCF_016698705.1	Burkholderia gladioli	other Burkholderia	plant	stem_shoot	raw_isolation_source=rice shoot	rice shoot		False
GCF_016899425.1	Burkholderia sp. MS389	other Burkholderia	plant	plant_unspecified		soybean		True
GCF_016899445.1	Burkholderia sp. MS455	other Burkholderia	plant	plant_unspecified		soybean		True
GCF_017858835.1	Burkholderia glumae	other Burkholderia	plant	plant_unspecified			Oryza sativa	False
GCF_020544345.1	Paraburkholderia caribensis	other genus	plant	plant_unspecified			Sugarcane	False
GCF_022809715.1	Burkholderia pyrrocinia	Bcc	plant	plant_unspecified		China:Nanjing	poplar	True
GCF_023053515.1	Burkholderia cepacia	Bcc	plant	root_rhizosphere	raw_isolation_source=root	root	rice	True
GCF_024022955.1	Burkholderia glumae	other Burkholderia	plant	grain_fruit	raw_isolation_source=rice panicle	rice panicle	Oryza sativa	False
GCF_024072595.1	Paraburkholderia fungorum	other genus	plant	leaf	raw_isolation_source=leaf	leaf	Arabidopsis thaliana	False
GCF_024072715.1	Paraburkholderia fungorum	other genus	plant	plant_unspecified			Arabidopsis thaliana	False
GCF_024123895.1	Paraburkholderia fungorum	other genus	plant	leaf	raw_isolation_source=leaf	leaf	Arabidopsis thaliana	False
