module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	5	0.0000	0.2000	0.2000	0	0
M00063	CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	4	0.2500	0.5000	0.5000	0	0
M00064	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	5	0.0000	0.4000	0.4000	0	0
M00065	GPI-anchor biosynthesis, core oligosaccharide	Pathway modules; Glycan metabolism; Glycan biosynthesis	9	0.0000	0.0000	0.0000	0	0
M00066	Lactosylceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	2	0.0000	0.5000	0.5000	0	0
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	Pathway modules; Lipid metabolism; Lipid metabolism	2	0.0000	0.0000	0.0000	0	0
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	Pathway modules; Glycan metabolism; Glycan biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	Pathway modules; Glycan metabolism; Glycan biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00072	N-glycosylation by oligosaccharyltransferase	Pathway modules; Glycan metabolism; Glycan biosynthesis	1	0.0000	0.0000	0.0000	0	0
M00073	N-glycan precursor trimming	Pathway modules; Glycan metabolism; Glycan biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00074	N-glycan biosynthesis, high-mannose type	Pathway modules; Glycan metabolism; Glycan biosynthesis	7	0.0000	0.0000	0.0000	0	0
M00075	N-glycan biosynthesis, complex type	Pathway modules; Glycan metabolism; Glycan biosynthesis	9	0.0000	0.0000	0.0000	0	0
M00076	Dermatan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	5	0.0000	0.0000	0.0000	0	0
M00077	Chondroitin sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	4	0.0000	0.0000	0.0000	0	0
M00078	Heparan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	8	0.0000	0.0000	0.0000	0	0
M00079	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	4	0.0000	0.2500	0.2500	0	0
M00081	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	0.0000	0.0000	0.0000	0	0
M00082	Fatty acid biosynthesis, initiation	Pathway modules; Lipid metabolism; Fatty acid metabolism	2	0.0000	0.0000	0.0000	0	0
M00083	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	1	0.0000	0.0000	0.0000	0	0
M00085	Fatty acid elongation in mitochondria	Pathway modules; Lipid metabolism; Fatty acid metabolism	3	0.0000	0.0000	0.0000	0	0
M00086	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	1	0.0000	0.0000	0.0000	0	0
M00087	beta-Oxidation	Pathway modules; Lipid metabolism; Fatty acid metabolism	3	0.0000	0.0000	0.0000	0	0
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Pathway modules; Lipid metabolism; Lipid metabolism	5	0.0000	0.4000	0.4000	0	0
M00089	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	4	0.0000	0.0000	0.0000	0	0
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	Pathway modules; Lipid metabolism; Lipid metabolism	3	0.0000	0.0000	0.0000	0	0
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	Pathway modules; Lipid metabolism; Lipid metabolism	1	0.0000	0.0000	0.0000	0	0
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	Pathway modules; Lipid metabolism; Lipid metabolism	3	0.0000	0.0000	0.0000	0	0
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules; Lipid metabolism; Lipid metabolism	3	0.3333	1.0000	1.0000	0	0
M00094	Ceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	4	0.0000	0.0000	0.0000	0	0
