accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_013822785.1	Burkholderia sp. MBR-1	water	env_medium=waste water				China:Changsha
GCF_014171495.1	Paraburkholderia tropica	rhizosphere	isolation_source=sorghum rhizosphere	not applicable	Sorghum rhizosphere		Netherlands
GCF_014211915.1	Burkholderia cenocepacia	soil	isolation_source=soil		soil		India: New Delhi
GCF_014263355.1	Burkholderia gladioli	plant	host=sugarcane	sugarcane	leaf		China:Guangzhou
GCF_014357995.1	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum from cystic fibrosis patient	cystic fibrosis	Canada: Toronto
GCF_014854795.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	sputum		Laos
GCF_016026055.1	Burkholderia glumae	unknown	no usable metadata	missing	missing	Unknown	Not applicable
GCF_016027435.1	Burkholderia oklahomensis	unknown	no usable metadata	missing	missing	Unknown	Not applicable
GCF_016027455.1	Burkholderia humptydooensis	unknown	no usable metadata	missing	missing	Unknown	Not applicable
GCF_016127755.1	Burkholderia ambifaria	unknown	no usable metadata	missing	missing	Unknown	USA:VA
GCF_016128195.1	Paraburkholderia ginsengisoli	unknown	no usable metadata	missing	missing	Unknown	USA:MD
GCF_016458785.1	Burkholderia ambifaria	industrial	isolation_source=baijiu fermentation starter		Baijiu fermentation starter		China: Hebei province
GCF_016458805.1	Burkholderia anthina	industrial	isolation_source=baijiu fermentation starter		Baijiu fermentation starter		China: Hebei province
GCF_016598875.1	Burkholderia glumae	unknown	no usable metadata	missing	missing	Unknown	Not applicable
GCF_016698705.1	Burkholderia gladioli	plant	isolation_source=rice shoot		rice shoot		Taiwan: Taichung
GCF_016774495.1	Burkholderia thailandensis	soil	isolation_source=soil		soil		Singapore
GCF_016864355.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	sepsis	India
GCF_016889205.1	Burkholderia dolosa	unknown	no usable metadata	missing	missing	Unknown	USA:MD
GCF_016899425.1	Burkholderia sp. MS389	plant	isolation_source=soybean		soybean		USA: Mississippi
GCF_016899445.1	Burkholderia sp. MS455	plant	isolation_source=soybean		soybean		USA: Mississippi
GCF_017165175.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165195.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165475.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165495.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165515.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165535.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017165555.1	Burkholderia multivorans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Belgium
GCF_017220215.1	Caballeronia sp. M1242	human_clinical	host_disease=respiratory tract infections	Homo sapiens	ETA	Respiratory Tract Infections	Australia
GCF_017378155.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378195.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378235.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378275.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378315.2	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378355.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017378435.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_017514945.1	Burkholderia anthina	unknown	no usable metadata		RoundUp		Germany: Goettingen
GCF_017815595.1	Burkholderia latens	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	USA:Virginia
GCF_017815615.1	Burkholderia latens	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	USA:Alabama
GCF_017858835.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa			USA: Louisiana
GCF_018223765.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	blood	NA	Taiwan
GCF_018223785.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	blood	NA	Taiwan
GCF_018223805.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	blood	NA	Taiwan
GCF_018228345.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228385.1	Burkholderia pseudomallei	water	isolation_source=water		water		Singapore
GCF_018228525.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228545.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228565.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228585.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228605.1	Burkholderia pseudomallei	soil	isolation_source=soil		soil		Singapore
GCF_018228625.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	blood	NA	Taiwan
GCF_018408855.1	Caballeronia sp. NK8	soil	env_medium=enriched soil				Japan:Ibaraki, Tsukuba, Kannon-dai
GCF_018417535.1	Burkholderia pyrrocinia	soil	env_medium=forest soil [envo:00002261]		mixed forest near oak tree		USA: Arkansas, Arkadelphia
GCF_018771365.1	Burkholderia pseudomallei	human_clinical	host_disease=sepsis	Homo sapiens	blood	Sepsis	India
GCF_019428685.1	Paraburkholderia edwinii	soil	env_medium=soil/tree roots near citrus sinensis	not applicable			USA:Pasadena, California
GCF_019915365.1	Burkholderia contaminans	human_clinical	host_disease=surgical procedures, operative	Homo sapiens	Swab from tracheostomic tube	Surgical Procedures, Operative	Kazakhstan: Almaty
GCF_019930785.1	Burkholderia dolosa	unknown	no usable metadata	missing	missing	Unknown	Germany: Braunschweig
GCF_020099355.1	Burkholderia vietnamiensis	unknown	no usable metadata	missing	missing	Unknown	Germany: Braunschweig
GCF_020544345.1	Paraburkholderia caribensis	plant	host=sugarcane	Sugarcane			Brazil
GCF_020736245.1	Burkholderia dolosa	unknown	no usable metadata	missing	missing	Unknown	Germany: Braunschweig
GCF_020843905.1	Burkholderia ambifaria	soil	isolation_source=agricultural soil		agricultural soil		Canada: Saint-Jean-sur-Richelieu, Quebec
GCF_020843925.1	Burkholderia ambifaria	soil	isolation_source=agricultural soil		agricultural soil		Canada: Farnham, Quebec
GCF_020843945.1	Burkholderia sp. B21-007	soil	isolation_source=agricultural soil		agricultural soil		Canada: Havelock, Quebec
GCF_020843965.1	Burkholderia sp. B21-005	soil	isolation_source=agricultural soil		agricultural soil		Canada: Farnham, Quebec
GCF_020843985.1	Burkholderia ambifaria	soil	isolation_source=agricultural soil		agricultural soil		Canada: Farnham, Quebec
GCF_020885575.1	Paraburkholderia terrae	soil	env_broad=soil				Japan:Osaka
GCF_021344035.2	Burkholderia cepacia	soil	env_medium=soil [envo:01001044]	Lilium longiflorum			South Korea:Wanju
GCF_021484945.1	Burkholderia cepacia	water	env_local=purified water for pharmaceuticals				China:Beijing
GCF_021535065.1	Burkholderia cenocepacia	water	env_local=purified water for pharmaceuticals				China:Beijing
GCF_021899435.1	Burkholderia aenigmatica	water	env_local=purified water for pharmaceuticals				China:Beijing
GCF_022213445.1	Burkholderia vietnamiensis	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA:MN
GCF_022533485.1	Burkholderia contaminans	water	isolation_source=water		water		Not applicable
GCF_022809715.1	Burkholderia pyrrocinia	plant	host=poplar	poplar	China:Nanjing		not collected
GCF_022879575.1	Caballeronia sp. SL2Y3	unknown	no usable metadata	Jalysus wickhami			USA: Arizona
GCF_022879595.1	Caballeronia sp. Lep1P3	insect	host=leptoglossus zonatus	Leptoglossus zonatus			USA: California
GCF_022879615.1	Caballeronia grimmiae	insect	host=leptoglossus zonatus	Leptoglossus zonatus			USA: California
GCF_022879815.1	Caballeronia zhejiangensis	insect	host=anasa tristis	Anasa tristis			USA: Georgia
GCF_023053515.1	Burkholderia cepacia	plant	host=rice	rice	root		China: Nanchang City, Jiangxi Province
GCF_023169865.1	Paraburkholderia terrae	soil	env_broad=soil				Japan:Osaka
GCF_023170545.1	Caballeronia sp. Sq4a	insect	host=anasa tristis	Anasa tristis			USA: Georgia
GCF_023373625.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023373645.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023373665.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023373685.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023373725.1	Burkholderia vietnamiensis	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374315.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374335.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374355.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374375.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374395.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374415.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374435.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374455.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374475.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374495.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374515.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374535.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374575.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374595.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374615.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374635.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374655.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374675.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374695.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374715.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374735.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374755.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374775.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374795.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374815.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374835.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374855.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374875.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023374895.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	not collected	not collected	Germany
GCF_023658595.1	Burkholderia gladioli	soil	isolation_source=soil		soil		China: chongqing
GCF_024022955.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa	rice panicle		South Korea: Icheon
GCF_024072595.1	Paraburkholderia fungorum	plant	host=arabidopsis thaliana	Arabidopsis thaliana	leaf		France: Bagneres-de-Bigorre
GCF_024072715.1	Paraburkholderia fungorum	plant	host=arabidopsis thaliana	Arabidopsis thaliana			France: Bagneres-de-Bigorre
GCF_024123895.1	Paraburkholderia fungorum	plant	host=arabidopsis thaliana	Arabidopsis thaliana	leaf		France: Saubens
GCF_024381035.2	Burkholderia arboris	soil	isolation_source=soil		soil		China:Shandong
GCF_024600575.1	Burkholderia cepacia	soil	isolation_source=mixed soil samples	missing	Mixed soil samples		China:Guangxi
GCF_024661975.1	Burkholderia contaminans	industrial	isolation_source=daily chemical products		Daily chemical products		China: Guangzhou
GCF_024662395.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Naju
GCF_024662415.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Taean-gun
GCF_024662435.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Haenam-gun
GCF_024662455.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Chungju
GCF_024662475.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Muju-gun
GCF_024662615.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea
GCF_024662735.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Gyeongsangnam-do
GCF_024662895.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Goryeong-gun
GCF_024663015.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Sacheon
GCF_024663135.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Suwon
GCF_024663255.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea
GCF_024663375.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Gimje
GCF_024663615.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Buyeo-gun
GCF_024663775.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Hadong-gun
GCF_024663895.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Seocheon-gun
GCF_024663975.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Jecheon
GCF_024663995.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Yeongam-gun
GCF_024664015.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Hadong-gun
GCF_024664035.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Buan-gun
GCF_024664055.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Buan-gun
GCF_024664075.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Gyeongsan
GCF_024664095.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Miryang
GCF_024664115.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Jangsu-gun
GCF_024664135.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Namwon
GCF_024664155.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Bonghwa-gun
GCF_024664175.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Hapcheon-gun
GCF_024664195.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Goseong-gun
GCF_024664215.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Suwon
GCF_024664235.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Haman-gun
GCF_024664255.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea
GCF_024664275.1	Burkholderia glumae	unknown	no usable metadata	not applicable	not applicable		South Korea: Icheon
GCF_024730645.1	Burkholderia sp. EMB26	soil	isolation_source=soil samples		Soil samples		India: New Delhi
GCF_024732225.1	Burkholderia pyrrocinia	unknown	no usable metadata		none		none
GCF_024760585.1	Burkholderia glumae	plant	isolation_source=diseased rice		diseased rice		South Korea: Gangjin district, Jeolla province
GCF_024760605.1	Burkholderia glumae	plant	isolation_source=diseased rice		diseased rice		South Korea: Cheongju, Chungcheong province
GCF_024760625.1	Burkholderia glumae	plant	isolation_source=diseased rice		diseased rice		South Korea: Changwon, Gyeongsang province
GCF_024760645.1	Burkholderia glumae	plant	isolation_source=diseased rice		diseased rice		South Korea: Suwon, Gyeonggi province
GCF_025244785.1	Burkholderia gladioli	plant	isolation_source=dendrobium officinale kimura et migo		Dendrobium officinale Kimura et Migo		China:Zhejiang
GCF_025560745.1	Burkholderia sp. S-53	soil	isolation_source=mountain soil		mountain soil		China
GCF_025643495.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	CF throat		Canada
GCF_025643515.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	sputum		Canada: Manitoba
GCF_025643555.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	sputum		Canada: Manitoba
GCF_025643575.1	Burkholderia cenocepacia	human_clinical	host=homo sapiens	Homo sapiens	unknown		Canada: Manitoba
GCF_026315005.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	sputum	melioidosis	Australia: Northern Territory
GCF_026315025.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	sputum	melioidosis	Australia: Northern Territory
GCF_026315045.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	sputum	melioidosis	Australia: Northern Territory
GCF_026651625.1	Burkholderia gladioli	insect	host=lagria villosa	Lagria villosa			Brazil:Sao Paulo
