accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_000959225.1	Burkholderia pseudomallei MSHR2543	unknown	no usable metadata		Unknown		Australia
GCF_000959245.1	Burkholderia ubonensis MSMB22	unknown	no usable metadata		Unknown		Unknown
GCF_000959265.1	Burkholderia pseudomallei 7894	human_clinical	isolation_source=human clinical		Human clinical		Ecuador
GCF_000959285.1	Burkholderia pseudomallei K96243	human_clinical	isolation_source=human clinical		Human Clinical		Thailand: Mahidol University (Siriraj Hospital and Mahidol-Oxford Research Unit)
GCF_000959305.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis encephalomyelitis	Homo sapiens	blood	Melioidosis encephalomyelitis	Australia
GCF_000959325.1	Burkholderia humptydooensis	water	isolation_source=water		water		Australia
GCF_000959345.1	Burkholderia pseudomallei PB08298010	human_clinical	isolation_source=human clinical		Human Clinical		USA: Arizona
GCF_000959365.1	Burkholderia oklahomensis C6786	human_clinical	host=homo sapiens	Homo sapiens	Pelvic Wound		USA: Oklahoma
GCF_000959405.1	Burkholderia mallei	human_clinical	isolation_source=human		human		Turkey
GCF_000959425.1	Burkholderia thailandensis 2002721643	unknown	no usable metadata		Unknown		Unknown
GCF_000959445.1	Burkholderia vietnamiensis LMG 10929	rhizosphere	isolation_source=oryza sativa, rhizosphere soil		Oryza sativa, rhizosphere soil		Viet Nam: Binh Thanh
GCF_000959465.1	Burkholderia mallei	unknown	no usable metadata		Mule		India
GCF_000959485.1	Burkholderia mallei	unknown	no usable metadata		Unknown		United Kingdom
GCF_000959505.1	Burkholderia dolosa AU0158	human_clinical	isolation_source=human clinical (cystic fibrosis patient)		Human Clinical (cystic fibrosis patient)		USA
GCF_000959525.1	Burkholderia multivorans ATCC BAA-247	human_clinical	isolation_source=human clinical sample (cystis fibrosis patient)		Human Clinical Sample (Cystis Fibrosis Patient)		Belgium: Brussela
GCF_000959545.1	Burkholderia ambifaria AMMD	rhizosphere	isolation_source=pea rhizosphere		Pea rhizosphere		USA: Wisconsin
GCF_000959605.1	Burkholderia thailandensis 34	unknown	no usable metadata		Unavailable		missing
GCF_000959625.1	Burkholderia mallei	unknown	no usable metadata		Unknown		Unknown
GCF_000959725.1	Burkholderia gladioli	plant	isolation_source=plant		Plant		Not Available
GCF_000960995.1	Burkholderia glumae LMG 2196 = ATCC 33617	plant	isolation_source=oryza sativa, grain		Oryza sativa, grain		Japan: Ehime
GCF_000961515.1	Paraburkholderia fungorum	fungus	isolation_source=white-rot fungus phanerochaete chrysosporium		White-rot fungus Phanerochaete chrysosporium		France
GCF_000974835.2	Burkholderia cepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	pulmonary	cystic fibrosis	Thailand
GCF_001028665.1	Burkholderia pyrrocinia	soil	isolation_source=soil		soil		Japan
GCF_001029145.1	Burkholderia contaminans	soil	env_medium=soil				USA
GCF_001277875.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Taiwan
GCF_001277895.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Taiwan
GCF_001277975.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	Pus	Melioidosis	Malaysia: Pahang
GCF_001293045.1	Burkholderia sp. HB1	soil	isolation_source=soil		soil		Japan: Ehime Prefecture
GCF_001318245.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	sputum		USA
GCF_001411495.1	Burkholderia cepacia ATCC 25416	plant	host=allium cepa (onion)	Allium cepa (onion)			missing
GCF_001411805.1	Burkholderia plantarii	unknown	no usable metadata				
GCF_001449005.1	Paraburkholderia caribensis	soil	env_medium=soil				Martinique
GCF_001484665.1	Burkholderia cenocepacia	human_clinical	host_disease=cepacia syndrome	Homo sapiens	sputum	Cepacia syndrome	Czech Republic
GCF_001513745.1	Burkholderia humptydooensis	water	isolation_source=water	unknown	water		Australia: Northern Territory
GCF_001522105.2	Burkholderia oklahomensis EO147	human_clinical	host=homo sapiens	Homo sapiens	unknown		USA: Georgia
GCF_001522135.2	Burkholderia oklahomensis C6786	human_clinical	host=homo sapiens	Homo sapiens	unknown		USA: Oklahoma
GCF_001522585.2	Burkholderia sp. NRF60-BP8	soil	isolation_source=soil	unknown	soil		Thailand: Ubon, Pibul
GCF_001522635.2	Burkholderia mayonis	soil	isolation_source=soil	unknown	soil		Australia: Badu Island, Torres Strait
GCF_001523745.2	Burkholderia mayonis	soil	isolation_source=soil	unknown	soil		Australia: Badu Island, Torres Strait
GCF_001523915.2	Burkholderia sp. LA-2-3-30-S1-D2	soil	isolation_source=soil	unknown	soil		USA: New Orleans, Plaquemines, LA
GCF_001524445.2	Burkholderia savannae	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001524625.2	Burkholderia savannae	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001524645.2	Burkholderia sp. MSMB0856	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001532025.2	Burkholderia sp. MSMB617WGS	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001557535.2	Burkholderia sp. PAMC 26561	fungus	isolation_source=lichen		lichen		Antarctica: King George Island,
GCF_001577465.1	Burkholderia sp. PAMC 28687	unknown	no usable metadata	Usnea			Antarctica
GCF_001606115.1	Burkholderia cenocepacia	human_clinical	host_disease=nasal inflammation	Homo sapiens	nasal	nasal inflammation	Malaysia: Terengganu
GCF_001606135.1	Burkholderia cenocepacia	human_clinical	host_disease=bacterial infection	Homo sapiens	Cord blood	Bacterial infection	Malaysia: Kuala Lumpur
GCF_001611015.1	Paraburkholderia caribensis	soil	isolation_source=farm soil		farm soil		Japan: Ehime Prefecture
GCF_001634365.1	Paraburkholderia phytofirmans OLGA172	soil	env_medium=soil				Russia
GCF_001695715.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Malaysia
GCF_001695735.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Malaysia
GCF_001718295.1	Burkholderia thailandensis	human_clinical	host=homo sapiens	Homo sapiens	unknown		USA: Texas
GCF_001718315.1	Burkholderia diffusa	soil	isolation_source=soil	unknown	soil		Thailand: Ubon/Trakam
GCF_001718335.1	Burkholderia territorii	soil	isolation_source=soil	unknown	soil		Thailand: Ubon/Trakam
GCF_001718355.1	Burkholderia ubonensis	soil	isolation_source=soil	unknown	soil		Thailand: Ubon/Kemarach
GCF_001718395.1	Burkholderia cepacia	soil	isolation_source=soil	unknown	soil		Thailand: Ubon
GCF_001718415.1	Burkholderia pseudomultivorans	soil	isolation_source=soil	unknown	soil		Thailand: Ubon
GCF_001718495.1	Burkholderia vietnamiensis	soil	isolation_source=soil	unknown	soil		USA: Brevard, FL
GCF_001718515.1	Burkholderia cenocepacia	soil	isolation_source=soil	unknown	soil		USA: Lake, FL
GCF_001718535.1	Burkholderia seminalis	soil	isolation_source=soil	unknown	soil		USA: Lake, FL
GCF_001718555.1	Burkholderia metallica	soil	isolation_source=soil	unknown	soil		USA: Lake, FL
GCF_001718575.1	Burkholderia lata	environmental_other	isolation_source=environmental	unknown	environmental		USA: Florida
GCF_001718595.1	Burkholderia thailandensis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718615.1	Burkholderia thailandensis	unknown	no usable metadata	unknown	unknown		USA
GCF_001718635.1	Burkholderia thailandensis	environmental_other	isolation_source=environmental	unknown	environmental		unknown
GCF_001718655.1	Burkholderia ubonensis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718695.1	Burkholderia ubonensis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718755.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	Thigh Biopsy		USA
GCF_001718775.1	Burkholderia vietnamiensis	human_clinical	host=homo sapiens	Homo sapiens	CF Blood		USA
GCF_001718795.1	Burkholderia latens	human_clinical	host=homo sapiens	Homo sapiens	CF Maxillary Sinus		USA
GCF_001718815.1	Burkholderia vietnamiensis	plant	isolation_source=oryza sativa root	unknown	Oryza sativa root		Indonesia: Sukamandi, Banten
GCF_001718835.1	Burkholderia cepacia	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718855.1	Burkholderia ubonensis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718875.1	Burkholderia singularis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718895.1	Burkholderia cenocepacia	water	isolation_source=water	unknown	water		Australia: Northern Territory
GCF_001718915.1	Burkholderia vietnamiensis	plant	isolation_source=plant roots	unknown	plant roots		Australia: Northern Territory
GCF_001718955.1	Burkholderia stagnalis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718975.1	Burkholderia ubonensis	soil	isolation_source=soil	unknown	soil		Australia: Northern Territory
GCF_001718995.1	Burkholderia multivorans	environmental_other	isolation_source=air	unknown	air		Australia: Northern Territory
GCF_001729545.1	Burkholderia mallei	animal	host=equus caballus	Equus caballus			Bahrain
GCF_001742165.1	Burkholderia stabilis	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum from a cystic fibrosis patient	Cystic fibrosis	Belgium: Leuven
GCF_001865575.2	Paraburkholderia sprentiae WSM5005	rhizosphere	isolation_source=root nodule	Lebeckia ambigua	root nodule		South Africa
GCF_001885195.1	Burkholderia pseudomallei	human_clinical	host_disease=abscess	Jguana	pus of abscess	abscess	Czech Republic: Prague
GCF_001887555.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	sputum	Melioidosis	Australia
GCF_001887575.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	sputum	Melioidosis	Australia
GCF_001922345.1	Paraburkholderia sp. SOS3	plant	host=tomato rhizosphere	tomato rhizosphere			Australia:Brisbane
GCF_001975065.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	Melioidosis	Australia: Northern Territory
GCF_001975085.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	Melioidosis	Australia: Northern Territory
GCF_001975105.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	Melioidosis	Australia: Northern Territory
GCF_001975125.1	Burkholderia pseudomallei	human_clinical	isolation_source=human		human		Australia: Northern Territory
GCF_001975145.1	Burkholderia pseudomallei	human_clinical	isolation_source=human		human		Australia: Northern Territory
GCF_001980585.2	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	missing	melioidosis	Malaysia
GCF_001999785.1	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	Canada: Vancouver
GCF_001999825.1	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	Canada: Vancouver
GCF_001999885.1	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	Canada: Vancouver
GCF_002007585.1	Burkholderia cenocepacia	plant	host=corn	Corn	Corn Root		Canada: London, Ontario
GCF_002097715.1	Burkholderia ubonensis subsp. mesacidophila	soil	isolation_source=soil		soil		Japan
GCF_002110945.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: California ex Mexico
GCF_002110965.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Florida ex Trinidad
GCF_002111005.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Rhode Island ex Guatemala
GCF_002111025.1	Burkholderia pseudomallei	soil	isolation_source=soil	missing	soil	none	USA: Puerto Rico
GCF_002111045.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: California ex Mexico
GCF_002111085.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	Ecuador
GCF_002111105.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Iguana iguana	clinical	melioidosis	USA: California
GCF_002111125.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: New York ex Aruba
GCF_002111145.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Arizona ex Costa Rica
GCF_002111165.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	Switzerland: ex Martinique
GCF_002111205.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Iguana iguana	clinical	melioidosis	USA: California
GCF_002111225.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Ohio
GCF_002111245.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Rhode Island ex Guatemala
GCF_002111265.1	Burkholderia pseudomallei	soil	isolation_source=soil	missing	soil	none	USA: Puerto Rico
GCF_002111285.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Illinois ex Mexico
GCF_002111305.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Georgia ex Panama and Peru
GCF_002111325.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Puerto Rico
GCF_002111345.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	Venezuela
GCF_002111365.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: California
GCF_002111385.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	clinical	melioidosis	USA: Texas ex Mexico
GCF_002208175.1	Burkholderia gladioli pv. gladioli	plant	isolation_source=gladiolus		gladiolus		South Korea
GCF_002209085.2	Burkholderia cepacia	environmental_other	host=environment	Environment	plant derived food stuff, onion, Allium cepa	Not Applicable	USA
GCF_002278075.1	Paraburkholderia aromaticivorans	soil	env_medium=soil				South Korea: Yangju, Gyeonggi-do
GCF_002345985.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346005.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346025.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346045.1	Burkholderia mallei	human_clinical	host=homo sapiens	Homo sapiens	missing	Glanders	USA:Maryland
GCF_002346065.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346085.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346105.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346125.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346145.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346165.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346185.1	Burkholderia mallei	unknown	no usable metadata	missing	missing	Glanders	Turkey
GCF_002346205.1	Burkholderia mallei	human_clinical	host=homo sapiens	Homo sapiens	Missing	Glanders	USA:Maryland
GCF_002356275.1	Burkholderia stabilis	industrial	env_medium=sludge				restricted access
GCF_002386205.1	Burkholderia thailandensis	environmental_other	host=environment	Environment	environmental	Not Applicable	Missing
GCF_002393425.1	Burkholderia gladioli pv. gladioli	plant	host=onion	Onion	onion	Not Applicable	Missing
GCF_002407525.2	Burkholderia cepacia	plant	host=onion	Onion	onion	Not Applicable	Missing
GCF_002843645.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	environment	melioidosis	Australia: Northern Territory
GCF_002860065.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood culture	blood	Hong Kong
GCF_002902925.1	Paraburkholderia terrae	soil	isolation_source=soil		soil		Korea
GCF_002902945.1	Paraburkholderia caribensis	soil	isolation_source=soil		soil		Martinique
GCF_002902965.1	Paraburkholderia hospita	soil	isolation_source=soil		soil		Belgium: Pittem
GCF_003019945.1	Burkholderia vietnamiensis	environmental_other	host=environment	Environment	oryza sativa, rhizosphere soil	Not Applicable	Missing
GCF_003019965.1	Burkholderia multivorans	human_clinical	host_disease=infection with burkholderia multivorans	Homo sapiens	cystic fibrosis patient	Infection with Burkholderia multivorans	Missing
GCF_003020025.1	Burkholderia thailandensis	environmental_other	host=environment	Environment	water	Not Applicable	Missing
GCF_003020185.1	Burkholderia thailandensis	human_clinical	host_disease=wound infection	Homo sapiens	pleural wound	Wound infection	Missing
GCF_003076415.1	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	patient sputum	cystic fibrosis	USA: Ohio, Cleveland
GCF_003233675.1	Burkholderia sp. JP2-270	rhizosphere	isolation_source=rice rhizosphere		rice rhizosphere		China: Hangzhou
GCF_003286395.1	Paraburkholderia dokdonensis	environmental_other	isolation_source=environmental		environmental		South Korea
GCF_003330745.1	Paraburkholderia caledonica	soil	isolation_source=soil		soil		Netherlands: Hoeven
GCF_003330765.1	Burkholderia pyrrocinia	soil	isolation_source=soil		soil		Netherlands: Hoeven
GCF_003330785.1	Paraburkholderia graminis	soil	isolation_source=soil		soil		Netherlands: Hoeven
GCF_003330805.1	Paraburkholderia hospita	soil	isolation_source=soil		soil		Netherlands: Hoeven
GCF_003330825.1	Paraburkholderia terricola	soil	isolation_source=soil		soil		Netherlands: Hoeven
GCF_003366075.1	Burkholderia sp. IDO3	industrial	isolation_source=reactor sludge		reactor sludge		China: Dalian
GCF_003368325.1	Paraburkholderia caffeinilytica	soil	isolation_source=tea plantation soil		tea plantation soil		China
GCF_003445415.1	Burkholderia pseudomallei	unknown	no usable metadata		unknown		Pakistan
GCF_003546465.1	Burkholderia cepacia ATCC 25416	plant	isolation_source=plant derived food stuff		Plant derived food stuff		unknown
GCF_003547015.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Institute for Medical Research, Kuala Lumpur	Missing	Malaysia
GCF_003547035.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	clinical	Missing	Malaysia
GCF_003547055.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Institute for Medical Research, Kuala Lumpur	Missing	Malaysia
GCF_003568605.1	Burkholderia thailandensis E264	plant	isolation_source=rice field soil		Rice field soil		Thailand: Central
GCF_003606245.1	Burkholderia pseudomallei	animal	host=capra hircus	Capra hircus			China
GCF_003613595.1	Burkholderia gladioli pv. gladioli	environmental_other	host=environment	Environment	environmental	Not Applicable	Missing
GCF_003614815.1	Burkholderia thailandensis	environmental_other	host=environment	Environment	environmental	Not Applicable	Missing
GCF_003614835.1	Burkholderia thailandensis	environmental_other	host=environment	Environment	environmental	Not Applicable	Thailand
GCF_003704285.1	Burkholderia contaminans	soil	isolation_source=soil	unknown	soil		USA: Orange, FL
GCF_003711145.1	Burkholderia lata	human_clinical	host_disease=cepacia syndrome	Homo sapiens	blood	cepacia syndrome	Australia: Adelaide
GCF_003713105.1	Burkholderia gladioli	plant	isolation_source=fermented corn meal		Fermented corn meal		China: Heilongjiang Province
GCF_003798245.1	Burkholderia pseudomallei	unknown	no usable metadata	UCC strain	UCC isolate	Unknown	Unknown
GCF_003798265.1	Burkholderia pseudomallei	human_clinical	host_disease=meliodosis	Homo sapiens	UCC isolate	Meliodosis	Thailand: Ubon Ratchathani
GCF_003798365.1	Burkholderia pseudomallei	unknown	no usable metadata	UCC strain	UCC isolate	Not applicable	Thailand: Ubon Ratchathani
GCF_003812365.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	not applicable
GCF_003812585.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	not applicable
GCF_003812965.1	Burkholderia multivorans	unknown	no usable metadata	UCC strain	UCC isolate	Not applicable	Thailand: Ubon Ratchathani
GCF_003813045.1	Burkholderia dolosa	human_clinical	host=homo sapiens	Homo sapiens	UCC isolate	Unknown	Unknown
GCF_003966315.1	Burkholderia cenocepacia	plant	host=populus	populus			China:Chenzhou,Hunan
GCF_004323015.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004323035.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004348055.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from Melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004348075.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from Melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004367665.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from a melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004367685.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood and joint fluid of melioidosis patient	Melioidosis	Sri Lanka: Batticaloae
GCF_004367705.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	Melioidosis	Sri Lanka: Batticaloae
GCF_004367725.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood	Melioidosis	Sri Lanka: Batticaloa
GCF_004526325.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	blood from Melioidosis patient	Melioidosis	Sri Lanka: Batticaloa
GCF_004842085.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			China:Hainan,Wenchang
GCF_005280735.1	Trinickia violacea	soil	isolation_source=forest soil		forest soil		China:Guangdong Province
GCF_005853645.1	Burkholderia pseudomallei	human_clinical	host_disease=blood stream infection	Homo sapiens	Blood aspirate	Blood stream infection	India
GCF_005862325.1	Burkholderia pseudomallei	human_clinical	host_disease=blood stream infection	Homo sapiens	Blood aspirate	Blood stream infection	India: Vellore
GCF_005937855.2	Burkholderia sp. KBS0801	soil	isolation_source=soil		soil		USA: Hickory Corners, MI
GCF_006094315.1	Burkholderia cepacia ATCC 25416	unknown	no usable metadata	missing			missing
GCF_007556815.1	Paraburkholderia megapolitana	unknown	no usable metadata	missing			Germany
GCF_007724625.1	Burkholderia contaminans	soil	isolation_source=soil		soil		China
GCF_008693485.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA: MI
GCF_008693525.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA: MI
GCF_008728255.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	sputum		Micronesia: Yap
GCF_008728275.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Micronesia: Yap
GCF_008728295.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	urine		Micronesia: Yap
GCF_008728315.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Micronesia: Yap
GCF_008728335.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	pleural fluid		Micronesia: Yap
GCF_008728355.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	cerebrospinal fluid		Micronesia: Yap
GCF_008728375.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Micronesia: Yap
GCF_009191525.1	Burkholderia contaminans	human_clinical	isolation_source=the respiratory tract of a pig with swine respiratory disease		the respiratory tract of a pig with swine respiratory disease		South Korea
GCF_009578005.1	Burkholderia glumae	plant	host=rice	rice			China: GuangXi
GCF_009586235.1	Burkholderia cepacia	water	isolation_source=lake		lake		China: Jiujiang
GCF_009730035.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA:MN
GCF_009730175.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA:MN
GCF_009730195.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	clinical isolate	Unknown	USA:MN
GCF_009749345.1	Burkholderia pseudomallei	environmental_other	isolation_source=environmental		environmental		Papua New Guinea: Balimo
GCF_009755625.1	Burkholderia contaminans	rhizosphere	isolation_source=cucumber rhizosphere		cucumber rhizosphere		China:Nanjing
GCF_009789655.1	Paraburkholderia acidiphila	soil	isolation_source=forest soil		forest soil		China:Guangdong Province
GCF_009789675.1	Paraburkholderia acidisoli	soil	isolation_source=forest soil		forest soil		China:Guangdong Province
GCF_009857095.1	Burkholderia glumae AU6208	plant	host=rice	rice			none
GCF_009931375.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa			USA: Louisiana
GCF_009938265.1	Burkholderia sp. THE68	unknown	no usable metadata	Togo hemipterus			Japan:Ibaraki, Tsukuba
GCF_011039955.1	Caballeronia sp. SBC2	soil	isolation_source=soil		soil		not collected
GCF_011493005.1	Caballeronia sp. SBC1	soil	isolation_source=soil		soil		not collected
GCF_011578485.1	Burkholderia thailandensis	human_clinical	host=homo sapiens	Homo sapiens	blood from patient		China: Chongqing
GCF_012689525.1	Paraburkholderia aromaticivorans	soil	isolation_source=alpine forest soil		Alpine forest soil		Italy: 7 km north of Bozen/Bolzano below the Rittner Horn, South Tyrol
GCF_012974245.1	Burkholderia glumae	plant	host=rice	rice			none
GCF_013122645.1	Burkholderia glumae	plant	host=rice	rice			China: hunan
GCF_013307145.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa	USA rice field		USA: Arkansas
GCF_013307165.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa			USA: Louisiana
GCF_013378095.1	Paraburkholderia caribensis	plant	host=mimosa	Mimosa			China
GCF_013426895.1	Paraburkholderia largidicola	insect	host=physopelta gutta	Physopelta gutta			Japan:Okinawa, Sesoko island
GCF_013426915.1	Paraburkholderia sp. PGU19	insect	host=physopelta gutta	Physopelta gutta			Japan:Okinawa, Nago
